AÑO,TRIMESTRE,NOM_ENT,NOM_MUN,NOM_CD,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2024,2,MICHOACAN DE OCAMPO,LAZARO CARDENAS,LAZARO CARDENAS,273,105,168,0,38.46,61.54,0.0
2024,2,MICHOACAN DE OCAMPO,MORELIA,MORELIA,256,169,87,0,66.02,33.98,0.0
2024,2,MICHOACAN DE OCAMPO,TARIMBARO,MORELIA,4,1,3,0,25.0,75.0,0.0
2024,2,MICHOACAN DE OCAMPO,URUAPAN,URUAPAN,268,230,37,1,85.82,13.81,0.37
2024,2,MORELOS,CUERNAVACA,CUERNAVACA,105,95,10,0,90.48,9.52,0.0
2024,2,MORELOS,EMILIANO ZAPATA,CUERNAVACA,50,37,13,0,74.0,26.0,0.0
2024,2,MORELOS,JIUTEPEC,CUERNAVACA,84,65,17,2,77.38,20.24,2.38
2024,2,MORELOS,TEMIXCO,CUERNAVACA,14,12,2,0,85.71,14.29,0.0
2024,2,MORELOS,TEPOZTLAN,CUERNAVACA,4,3,1,0,75.0,25.0,0.0
2024,2,MORELOS,XOCHITEPEC,CUERNAVACA,10,10,0,0,100.0,0.0,0.0
2024,2,MORELOS,YAUTEPEC,CUERNAVACA,5,2,2,1,40.0,40.0,20.0
2024,2,NAYARIT,TEPIC,TEPIC,251,64,187,0,25.5,74.5,0.0
2024,2,NAYARIT,XALISCO,TEPIC,27,3,24,0,11.11,88.89,0.0
2024,2,NUEVO LEON,APODACA,APODACA,250,97,152,1,38.8,60.8,0.4
2024,2,NUEVO LEON,GENERAL ESCOBEDO,GENERAL ESCOBEDO,254,129,121,4,50.79,47.64,1.57
2024,2,NUEVO LEON,GUADALUPE,GUADALUPE,263,142,119,2,53.99,45.25,0.76
2024,2,NUEVO LEON,MONTERREY,MONTERREY,235,164,68,3,69.79,28.94,1.28
2024,2,NUEVO LEON,SAN NICOLAS DE LOS GARZA,SAN NICOLAS DE LOS GARZA,236,62,174,0,26.27,73.73,0.0
2024,2,NUEVO LEON,SAN PEDRO GARZA GARCIA,SAN PEDRO GARZA GARCIA,196,29,164,3,14.8,83.67,1.53
2024,2,NUEVO LEON,SANTA CATARINA,SANTA CATARINA,253,134,119,0,52.96,47.04,0.0
2024,2,OAXACA,ANIMAS TRUJANO,OAXACA DE JUAREZ,5,3,2,0,60.0,40.0,0.0
2024,2,OAXACA,OAXACA DE JUAREZ,OAXACA DE JUAREZ,126,77,49,0,61.11,38.89,0.0
2024,2,OAXACA,SAN AGUSTIN DE LAS JUNTAS,OAXACA DE JUAREZ,4,2,2,0,50.0,50.0,0.0
2024,2,OAXACA,SAN ANDRES HUAYAPAM,OAXACA DE JUAREZ,4,4,0,0,100.0,0.0,0.0
2024,2,OAXACA,SAN ANTONIO DE LA CAL,OAXACA DE JUAREZ,4,1,3,0,25.0,75.0,0.0
2024,2,OAXACA,SAN JACINTO AMILPAS,OAXACA DE JUAREZ,5,4,1,0,80.0,20.0,0.0
2024,2,OAXACA,SAN LORENZO CACAOTEPEC,OAXACA DE JUAREZ,3,1,2,0,33.33,66.67,0.0
2024,2,OAXACA,SAN PABLO ETLA,OAXACA DE JUAREZ,5,2,3,0,40.0,60.0,0.0
2024,2,OAXACA,SAN SEBASTIAN TUTLA,OAXACA DE JUAREZ,10,7,3,0,70.0,30.0,0.0
2024,2,OAXACA,SANTA CRUZ XOXOCOTLAN,OAXACA DE JUAREZ,44,31,13,0,70.45,29.55,0.0
2024,2,OAXACA,SANTA LUCIA DEL CAMINO,OAXACA DE JUAREZ,23,10,13,0,43.48,56.52,0.0
2024,2,OAXACA,SANTA MARIA ATZOMPA,OAXACA DE JUAREZ,9,8,1,0,88.89,11.11,0.0
2024,2,OAXACA,SANTA MARIA DEL TULE,OAXACA DE JUAREZ,14,5,9,0,35.71,64.29,0.0
